Country,Value
Eritrea,0.8
Burundi,1.22
Sierra Leone,1.3
Somalia,1.38
Niger,1.41
Ethiopia,1.48
Guinea,1.49
Democratic Republic of the Congo,1.68
Madagascar,2.05
Chad,2.1
Mali,2.17
Ivory Coast,2.38
Guinea Bissau,2.89
Central African Republic,3
Burkina Faso,3.73
Liberia,3.79
Benin,3.8
Tanzania,3.95
Togo,4
Malawi,4.35
Lesotho,4.59
Mozambique,4.85
Mauritania,5.37
Cameroon,5.7
Congo,6.11
Djibouti,8.27
Gabon,8.62
Botswana,11.5
Gambia,12.45
Namibia,12.94
Zambia,13.47
Equatorial Guinea,13.94
Libya,14
Uganda,14.69
Algeria,15.23
Angola,16.94
Zimbabwe,17.09
Ghana,17.11
Yemen,17.45
Senegal,19.2
Swaziland,20.78
Sudan,21
Kenya,32.1
Nigeria,32.88
South Africa,41
Tunisia,41.44
Egypt,44.07
Morocco,55
South Sudan,0
Rwanda,8.02
